priority,type,target,action,landing_page,suggested_anchor,notes,status
1,owned profile,Google Business Profile,Add website/products/posts and upload installed sign photos,https://signsandarts.in/,LED sign board manufacturer in India,Use real project photos and keep NAP details consistent,To do
1,owned profile,Amazon seller profile,Link brand/site where allowed and keep brand name consistent,https://signsandarts.in/,Signs and Arts LED sign boards,Do not force links where Amazon does not allow them,To do
1,local listing,Justdial business listing,Create or update listing with website and product categories,https://signsandarts.in/medical-plus-led-sign-board/,medical plus LED board,Add phone/address/service area if accurate,To do
1,local listing,IndiaMART supplier profile,Create supplier profile and link product/category pages where allowed,https://signsandarts.in/pharmacy-plus-led-sign/,pharmacy LED sign board,Use best product photos and business verification,To do
2,local listing,Sulekha business listing,Add signage/LED sign board service listing,https://signsandarts.in/#products,custom LED sign boards,Use consistent brand name and WhatsApp number,To do
2,local listing,TradeIndia supplier profile,Add LED signage products and website URL if available,https://signsandarts.in/clinic-led-sign-board/,clinic LED sign board,Focus on medical/pharmacy categories first,To do
2,content outreach,Clinic and pharmacy owners,Ask customers to mention installed board supplier on their website/social post,https://signsandarts.in/portfolio/,installed LED sign board portfolio,Offer installed photo and short caption,To do
2,content outreach,Local business blogs,Pitch article about storefront visibility for small shops,https://signsandarts.in/blog/medical-sign-board-guide.html,medical sign board guide,Useful article gets better links than sales pitch,To do
3,social profile,Instagram bio/posts,Add website link and link product pages in captions/stories,https://signsandarts.in/,LED sign boards,Social links are often nofollow but still help discovery,To do
3,social profile,YouTube Shorts descriptions,Add product page links below demo videos,https://signsandarts.in/#products,Signs and Arts LED sign boards,Use matching product URL for each video,To do
3,community,Relevant local business groups,Share portfolio case studies without spam,https://signsandarts.in/portfolio/,custom shop sign boards,Only post where promotion is allowed,To do
3,partnership,Electricians/sign installers,Exchange portfolio credit links for installation partners,https://signsandarts.in/,LED sign board supplier,Use real partners only,To do
